517	0.208315 3.042
581	0.278923 3.19687
645	0.37975 3.21127
709	0.50249 3.28424
773	0.652305 3.28668
837	0.82925 3.31924
901	1.03324 3.38648
965	1.28184 3.43116
1029	1.5802 3.41786
1093	1.94639 3.44094
1157	2.3941 3.44358
1221	2.92773 3.4193
1285	3.54173 3.57862
1349	4.22098 3.64797
1413	5.01295 3.96972
1477	5.81487 3.94905
1541	6.73578 4.0564
1605	7.70277 4.1344
1669	8.73537 4.20707
1733	9.92303 4.26818
1797	11.0673 4.25874
1861	12.3233 4.27651
1925	13.7312 4.31692
